DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
02.01.2023;01:30:00,000;1,0151;1385,8;0,0075955;1474,6;-0,0032549;0,99253;0,010851;6000,0;-5,4796;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:00:00,000;1,0151;1385,9;0,0054255;1474,0;-0,0021701;0,99227;0,010851;6000,0;-5,4674;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;02:30:00,000;1,0152;1388,6;0,0075955;1475,3;-0,0021701;0,99228;0,0086808;6000,0;-5,4862;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:00:00,000;1,0153;1405,1;0,0075955;1483,1;-0,0021701;0,99310;0,0086808;6000,0;-5,4956;-0,28385;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;03:30:00,000;1,0177;1407,0;0,0075955;1489,1;-0,0021701;0,99211;0,0086808;6000,0;-5,5232;-0,28048;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:00:00,000;1,0207;1408,4;0,0075955;1492,5;-0,0021701;0,99214;0,0097661;6000,0;-5,5317;-0,28434;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;04:30:00,000;1,0202;1408,4;0,0086808;1493,5;-0,0054250;0,99081;0,0097661;6000,0;-5,5322;-0,27951;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:00:00,000;1,0202;1410,8;0,0086808;1493,1;-0,0032549;0,98980;0,0097661;6000,0;-5,5421;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;05:30:00,000;1,0193;1423,1;0,0086808;1495,0;-0,0054250;0,98983;0,0086808;6000,0;-5,5756;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;06:00:00,000;1,0215;1426,7;0,0086808;1496,9;-0,0021701;0,99303;0,0086808;6000,0;-5,5842;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
